rows=8433
cols=3180
(0, 23, 1000)
(0, 37, -561)
(0, 54, -609)
(0, 78, -1000)
(0, 109, 1002)
(0, 128, -838)
(0, 165, -933)
(0, 172, 691)
(0, 337, 614)
(0, 381, -694)
(0, 426, -566)
(0, 436, 862)
(0, 563, 203)
(0, 592, 673)
(0, 639, 857)
(0, 826, 642)
(0, 1134, 890)
(0, 1350, -89)
(0, 1362, 788)
(0, 1564, 767)
(0, 1905, 696)
(0, 2044, -836)
(1, 23, 493)
(1, 27, 864)
(1, 35, 573)
(1, 55, -203)
(1, 96, -311)
(1, 110, -896)
(1, 111, -876)
(1, 120, 569)
(1, 139, 485)
(1, 152, 532)
(1, 160, -584)
(1, 204, 370)
(1, 213, -316)
(1, 215, 866)
(1, 232, 919)
(1, 307, -543)
(1, 316, 1011)
(1, 366, -826)
(1, 367, 901)
(1, 382, -665)
(1, 395, 186)
(1, 420, -973)
(1, 434, 53)
(1, 458, 853)
(1, 468, -940)
(1, 501, -653)
(1, 513, 757)
(1, 516, 440)
(1, 538, -744)
(1, 552, 587)
(1, 556, -534)
(1, 563, -515)
(1, 568, -111)
(1, 570, -823)
(1, 601, 860)
(1, 609, -44)
(1, 626, -859)
(1, 651, -550)
(1, 652, 287)
(1, 722, -974)
(1, 725, 179)
(1, 729, -735)
(1, 735, -780)
(1, 755, -326)
(1, 769, 720)
(1, 781, 1013)
(1, 788, 661)
(1, 797, 316)
(1, 801, 151)
(1, 843, 999)
(1, 846, 636)
(1, 867, 973)
(1, 872, -440)
(1, 873, 991)
(1, 879, 561)
(1, 888, 702)
(1, 892, 470)
(1, 894, -701)
(1, 896, 1006)
(1, 898, -438)
(1, 921, -584)
(1, 925, 525)
(1, 939, -53)
(1, 941, -556)
(1, 945, -442)
(1, 960, -348)
(1, 964, 508)
(1, 969, 615)
(1, 980, 534)
(1, 993, 358)
(1, 1006, -543)
(1, 1015, -828)
(1, 1041, -159)
(1, 1049, -217)
(1, 1070, -436)
(1, 1086, -822)
(1, 1087, -677)
(1, 1096, -726)
(1, 1114, -877)
(1, 1117, 805)
(1, 1167, 889)
(1, 1176, 347)
(1, 1177, -670)
(1, 1178, 536)
(1, 1187, -586)
(1, 1209, -335)
(1, 1238, 829)
(1, 1244, -320)
(1, 1246, -725)
(1, 1247, -584)
(1, 1251, -239)
(1, 1255, 154)
(1, 1268, 914)
(1, 1284, -643)
(1, 1295, 952)
(1, 1301, -911)
(1, 1303, -220)
